source,target
355,356
356,355
357,355
355,357
347,348
348,347
348,349
349,348
323,324
324,323
324,325
325,323
325,324
324,326
326,324
324,327
327,324
324,328
328,324
329,331
331,329
329,332
332,329
329,333
333,329
329,334
334,329
329,335
335,329
329,336
336,329
332,340
340,332
339,341
341,339
339,342
342,339
241,242
242,241
242,245
245,242
218,250
250,218
218,251
251,218
166,167
167,166
166,168
168,166
279,270
280,270
281,270
282,270
283,294
283,270
283,282
284,272
284,270
285,272
285,270
286,270
286,272
286,282
294,283
294,282
294,270
270,279
270,280
270,271
270,281
270,272
271,270
272,270
272,283
272,284
272,286
272,282
272,285
273,270
