source,target
159,161
159,162
165,159
163,165
163,161
165,167
161,163
165,173
165,163
165,174
165,171
165,170
165,172
165,162
165,161
165,168
165,166
165,169
171,165
172,165
173,165
174,165
162,163
161,162
166,161
167,161
168,161
169,161
170,161
145,146
146,147
147,150
147,146
147,149
147,145
149,147
150,147
127,129
129,127
129,132
129,131
131,129
132,129
53,54
54,53
54,61
54,65
54,56
54,64
54,62
54,63
61,54
62,54
63,54
64,54
65,54
54,58
56,54
58,54
35,36
36,38
36,35
38,36
