source,target
213,16
213,14
213,215
213,11
213,19
213,30
213,219
213,29
213,43
213,41
213,10
213,18
215,213
219,213
213,5
219,43
219,29
116,155
116,153
116,120
116,146
116,165
116,129
116,138
116,128
116,131
116,157
116,130
120,116
128,116
129,116
130,116
131,116
138,116
146,116
153,116
155,116
157,116
165,116
165,187
187,165
173,126
126,173
116,126
182,192
182,196
182,197
182,190
182,191
190,182
191,182
192,182
196,182
197,182
71,72
72,18
72,71
2,5
2,11
2,13
2,8
2,15
2,10
2,12
2,14
5,16
5,25
5,2
5,29
5,26
8,14
10,19
10,14
11,10
11,15
11,14
11,19
12,10
13,14
14,19
15,11
16,18
18,30
18,16
18,29
18,5
19,31
19,10
19,14
19,16
25,2
26,34
26,14
26,18
26,33
26,30
26,5
26,11
29,18
29,19
29,26
29,10
29,16
29,30
29,14
29,36
29,37
29,39
30,18
31,40
31,5
31,18
31,16
31,11
31,19
31,34
31,14
31,41
31,30
31,43
31,29
33,18
34,18
36,16
37,5
37,18
37,30
37,42
39,18
39,14
40,31
40,29
40,43
41,19
41,14
42,2
42,18
42,37
43,14
