source,target
18,19
19,53
19,45
19,51
19,32
19,42
19,44
19,30
19,47
19,22
19,31
19,50
19,41
19,35
19,40
19,33
19,26
19,54
19,20
19,38
19,27
19,34
19,36
19,37
19,39
19,21
19,28
19,43
19,29
19,25
19,48
19,24
19,52
19,49
19,23
19,46
20,55
20,58
20,59
20,24
20,18
20,19
21,19
21,55
22,23
22,19
23,19
23,22
24,61

25,19
25,20
26,20
26,19
27,20
27,19
28,19
28,20
29,19
29,20
30,20
30,19
31,19
31,20
32,20
32,19
33,20
33,19
34,19
34,20
35,20
35,19
36,19
36,20
37,19
37,20
38,19
38,20
39,19
39,20
40,22
40,19
40,23
41,19
41,20
42,19
42,20
43,20
43,19
44,20
44,19
45,20
45,19
46,19
46,20
47,20
47,19
48,20
48,19
49,19
49,20
50,20
50,19
51,19
51,20
52,20
52,19
53,20
53,19
54,20
54,19
55,62
55,21
55,63
58,20
59,19
59,55
59,20
61,19
62,55
63,55
